study,soil,dataset,ecosystem,climate,soil.t,mdw,mvol,mps,mwplog,mwp,bd,c.org,ps,clay,silt,sand,ph,n.org,CtoN,som,pd,co2.rel,co2.dw,co2.om
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.046,0.048,0.078,3.411,2574.5,1.035,0.029,0.599,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.235,0.357,12.133
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.114,0.108,0.168,3.057,1139.28,0.945,0.029,0.634,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.465,0.749,25.475
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.182,0.176,0.276,1.848,70.42,0.965,0.029,0.626,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.718,1.149,39.084
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.228,0.223,0.353,1.444,27.79,0.977,0.029,0.622,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.73,1.147,39.017
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.274,0.27,0.43,1.129,13.46,0.986,0.029,0.618,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.862,1.346,45.797
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.32,0.334,0.551,0.729,5.36,1.044,0.029,0.596,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.899,1.393,47.366
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.388,0.371,0.58,0.574,3.75,0.956,0.029,0.63,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.933,1.412,48.019
Franzluebers_1999,FARM_08,FARM_n,Grassland,Temperate,25,0.456,0.431,0.67,0.328,2.13,0.945,0.029,0.634,0.215,0.275,0.51,6.3,0.0017,16.9,0.05,2.58,0.982,1.414,48.107
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.046,0.048,0.08,3.716,5194.42,1.046,0.017,0.599,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.228,0.3,17.214
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.114,0.117,0.19,3.079,1199.21,1.023,0.017,0.608,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.813,1.06,60.947
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.182,0.194,0.326,1.624,42.09,1.068,0.017,0.591,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.833,1.159,66.581
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.228,0.254,0.438,1.01,10.23,1.114,0.017,0.573,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.923,1.217,69.944
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.274,0.276,0.444,0.714,5.18,1.006,0.017,0.614,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.926,1.243,71.443
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.32,0.354,0.608,0.461,2.89,1.106,0.017,0.576,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,1.019,1.323,76.015
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.388,0.416,0.7,0.193,1.56,1.073,0.017,0.589,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.971,1.241,71.342
Franzluebers_1999,FARM_09,FARM_n,Grassland,Temperate,25,0.456,0.483,0.805,0.678,4.76,1.059,0.017,0.594,0.255,0.205,0.54,6.5,0.0012,14.5,0.03,2.61,0.855,1.06,60.898
