year,month,temp_surf,precip,moisture_upper_soil
2059,3,301.0261230469,363.1358547136,42.3803062439
2059,4,300.908996582,462.968445383,39.1525344849
2059,5,301.1865844727,282.977700932,39.3439254761
2059,6,301.0947265625,167.5772443414,36.4689407349
2059,7,300.8441162109,118.8225110527,34.4498977661
2059,8,301.4380493164,73.6279293196,31.0598697662
2059,9,301.9119262695,139.5439398475,38.3647232056
2059,10,302.4892578125,47.5146600511,38.6935768127
2059,11,302.9877929688,77.6056913892,40.4795455933
2059,12,301.0681152344,408.8638806716,39.0378456116
2060,1,300.7094116211,550.0741512515,37.848815918
2060,2,301.0545654297,501.1326544918,40.3478507996
2060,3,300.9462280273,344.9599952437,39.7766151428
2060,4,300.587890625,519.0906515345,38.7493896484
2060,5,300.7428588867,263.2957957685,35.8508453369
2060,6,300.9662475586,106.0940797906,33.1140289307
2060,7,301.1322021484,76.0734737269,29.5386066437
2060,8,301.6954345703,82.9991349019,20.4122695923
2060,9,302.3785400391,100.1771969022,20.0318012238
2060,10,302.8236083984,100.955019705,27.3677577972
2060,11,302.5757446289,104.6628017211,39.6568489075
2060,12,301.290222168,301.5374976676,38.2334785461
2061,1,301.0916748047,385.2486647666,39.4445228577
2061,2,300.448059082,749.1218419746,40.2290229797
2061,3,300.5667724609,754.8495568335,41.5088424683
2061,4,300.6439208984,382.0450385101,42.4461212158
2061,5,301.1802978516,251.010783948,38.0636444092
2061,6,301.0716552734,303.4782498144,37.8169555664
2061,7,300.7940063477,200.0656204764,37.613193512
2061,8,301.3054199219,106.0639709467,38.7042732239
2061,9,301.7737426758,81.344902399,39.0274505615
2061,10,302.8140258789,79.4091102434,40.1721801758
2061,11,302.9456787109,83.5466575809,40.4886131287
2061,12,301.9745483398,262.1798731852,39.7408752441
2062,1,301.076965332,414.5017121919,38.0079879761
2062,2,300.9451293945,468.3237648569,39.5785484314
2062,3,300.6748657227,692.3918388784,40.0690841675
2062,4,300.6627197266,624.6389248408,39.7655143738
2062,5,301.1757202148,269.3599602208,36.4354476929
2062,6,301.3634643555,208.0870578066,35.695526123
2062,7,300.946472168,155.2200014703,33.3639984131
2062,8,301.1491088867,253.8888424169,38.4015808105
2062,9,301.1325073242,331.1823843978,38.2092819214
2062,10,301.4277954102,244.722439209,35.5938072205
2062,11,301.116394043,327.3455011658,40.5394058228
2062,12,301.2260742188,304.7379555646,39.4523353577
2063,1,301.1110839844,330.3423919715,36.9830245972
2063,2,300.8232421875,446.8858153559,39.1450424194
2063,3,300.8463134766,490.6559460796,40.2234039307
2063,4,301.0376586914,289.4747047685,40.5337715149
2063,5,300.5860595703,447.453668341,35.527923584
2063,6,300.6267089844,199.0879552905,28.5166053772
2063,7,300.7008056641,104.8483110499,19.6305198669
2063,8,301.0982055664,73.4360125498,19.1561946869
2063,9,301.8641357422,139.6877041552,18.7041149139
2063,10,302.3656005859,83.4950397257,29.4103813171
2063,11,302.6768798828,177.9080950655,39.9952659607
2063,12,301.2725219727,262.7399372868,40.1629219055
2064,1,301.4551391602,270.2073266264,40.2969055176
2064,2,300.8051147461,599.6959023178,41.1114501953
2064,3,300.5043945313,485.7846312225,39.579334259
2064,4,300.7001342773,274.4902318809,40.4347229004
2064,5,300.6363525391,403.907510452,40.2339859009
2064,6,300.7874145508,187.9965097178,39.8551101685
2064,7,301.137878418,117.1483820071,38.2362556458
2064,8,301.7105712891,26.9687475229,39.3495674133
2064,9,301.7736816406,114.03488426,39.3471260071
2064,10,301.9902954102,203.986634966,40.6785049438
2064,11,300.9010009766,294.6312474087,40.1783180237
2064,12,300.9016723633,346.0246017203,41.447353363
2065,1,301.0176391602,373.7566103227,39.0773658752
2065,2,300.7277832031,713.7998398393,39.0775947571
2065,3,300.7891235352,582.9194015823,41.2949638367
2065,4,301.0957641602,272.8618460242,39.69115448
2065,5,300.9856567383,307.5224342756,40.2752761841
2065,6,300.8411254883,163.5209145024,40.8942680359
2065,7,300.9598999023,41.9818653027,41.3246459961
2065,8,301.8379516602,73.060090479,40.6666984558
2065,9,302.4301147461,127.2964014206,38.9388809204
2065,10,303.6885375977,40.7236777246,40.432434082
2065,11,302.7589111328,197.1446382813,37.7709007263
2065,12,301.5380249023,366.4254038595,39.4452362061
2066,1,301.4209594727,261.9769661687,40.802192688
2066,2,301.3931274414,353.2334868796,37.5997314453
2066,3,301.0665893555,535.8314705081,39.8694648743
2066,4,301.1008911133,367.2595876269,39.9812278748
2066,5,301.4872436523,190.7947557047,40.4550971985
2066,6,300.9134521484,148.1929292204,38.5498924255
2066,7,301.4790649414,84.5687646652,36.4549789429
2066,8,302.2653198242,81.9945575204,33.7581863403
2066,9,303.6248168945,52.4305158178,34.6511650085
2066,10,302.5249633789,192.7663050592,39.3358306885
2066,11,301.9985351563,242.0952846296,39.9679832458
2066,12,301.3233032227,308.42158827,37.8999900818
2067,1,301.7446899414,131.4606252126,38.08385849
2067,2,301.430847168,392.9331433028,36.0473136902
2067,3,300.6374511719,735.2083688602,40.0395240784
2067,4,300.9630737305,269.1971857566,40.970993042
2067,5,300.9801025391,215.4434979893,37.3152961731
2067,6,300.7615966797,155.7999809738,28.1886520386
2067,7,301.0968017578,11.7358719581,20.2579879761
2067,8,302.887878418,21.2211950566,19.4340267181
2067,9,304.0166015625,45.8550337935,20.3252449036
2067,10,303.916809082,104.4450241607,33.3634033203
2067,11,303.6001586914,87.9572496051,40.1390266418
2067,12,301.6732788086,291.4599271026,38.0119514465
2068,1,300.9636230469,515.6158288009,39.6743736267
2068,2,301.1032714844,531.4269606024,41.7110519409
2068,3,301.5567626953,249.0890042391,42.3740997314
2068,4,301.6272583008,337.8987782635,40.437412262
2068,5,301.3540039063,346.4613826945,35.9557647705
2068,6,301.3240356445,135.6642837636,30.909029007
2068,7,301.5463867188,104.6574079664,24.5738277435
2068,8,300.9951782227,283.671684796,20.958612442
2068,9,301.8274536133,134.1982951853,31.512336731
2068,10,302.665222168,89.5828442881,36.7623519897
2068,11,301.975769043,214.4822780974,36.8918151855
2068,12,301.701171875,192.5109126605,36.920124054
2069,1,301.0140380859,598.2621819712,36.8942184448
